candidate,slice,bucket_lo,bucket_hi,rows,avg_pred_home_prob,actual_home_win_rate,home_calibration_gap
current_active_market_v1,conference_tournament_neutral,0.45,0.55,190,0.5021485032219636,0.41578947368421054,0.08635902953775304
current_active_market_v1,conference_tournament_neutral,0.55,0.6,138,0.5759074113507202,0.5217391304347826,0.05416828091593762
current_active_market_v1,conference_tournament_neutral,0.6,0.7,440,0.6478518177162517,0.7022727272727273,-0.054420909556475605
current_active_market_v1,conference_tournament_neutral,0.7,0.8,360,0.7469873107141919,0.8194444444444444,-0.07245713373025253
current_active_market_v1,conference_tournament_neutral,0.8,0.9,132,0.8255600482225418,0.9166666666666666,-0.09110661844412482
current_active_market_v1,conference_tournament_neutral,0.9,1.0,3,0.9086139798164368,1.0,-0.09138602018356323
current_active_market_v1,all_neutral,0.0,0.1,14,0.07363641208836011,0.07142857142857142,0.0022078406597886846
current_active_market_v1,all_neutral,0.1,0.2,42,0.15982310083650408,0.19047619047619047,-0.03065308963968638
current_active_market_v1,all_neutral,0.2,0.3,115,0.2574338344128235,0.19130434782608696,0.06612948658673656
current_active_market_v1,all_neutral,0.3,0.4,413,0.3591638712559716,0.2857142857142857,0.0734495855416859
current_active_market_v1,all_neutral,0.4,0.45,394,0.4257995487015865,0.3934010152284264,0.032398533473160074
current_active_market_v1,all_neutral,0.45,0.55,818,0.5002301888025769,0.5036674816625917,-0.003437292860014818
current_active_market_v1,all_neutral,0.55,0.6,451,0.5746288648465785,0.5698447893569845,0.004784075489594031
current_active_market_v1,all_neutral,0.6,0.7,943,0.646596508718877,0.694591728525981,-0.04799521980710397
current_active_market_v1,all_neutral,0.7,0.8,593,0.7452598089512444,0.8161888701517707,-0.07092906120052622
current_active_market_v1,all_neutral,0.8,0.9,268,0.8363529132373297,0.8880597014925373,-0.05170678825520758
current_active_market_v1,all_neutral,0.9,1.0,28,0.9214401181255069,0.8928571428571429,0.028582975268363953
current_active_market_v1,all_games,0.0,0.1,35,0.07927051378147942,0.05714285714285714,0.022127656638622283
current_active_market_v1,all_games,0.1,0.2,539,0.16532793198755366,0.11873840445269017,0.04658952753486349
current_active_market_v1,all_games,0.2,0.3,1493,0.2550064170033199,0.20964501004688546,0.045361406956434425
current_active_market_v1,all_games,0.3,0.4,2519,0.35404949689394144,0.29694323144104806,0.05710626545289338
current_active_market_v1,all_games,0.4,0.45,1807,0.42587318140693836,0.3907028223574986,0.03517035904943977
current_active_market_v1,all_games,0.45,0.55,4760,0.5023011380258728,0.5023109243697479,-9.786343875051173e-06
current_active_market_v1,all_games,0.55,0.6,2933,0.5752061371546413,0.5772246846232526,-0.002018547468611298
current_active_market_v1,all_games,0.6,0.7,6835,0.6504979771859644,0.6800292611558156,-0.029531283969851274
current_active_market_v1,all_games,0.7,0.8,5367,0.746852658537706,0.7985839388857835,-0.0517312803480775
current_active_market_v1,all_games,0.8,0.9,4272,0.8485039905662394,0.8852996254681648,-0.03679563490192539
current_active_market_v1,all_games,0.9,1.0,5997,0.9669595908995408,0.9584792396198099,0.008480351279730902
tapered_context_85_v1,ncaa_tournament_neutral,0.3,0.4,3,0.36960963408152264,0.3333333333333333,0.03627630074818933
tapered_context_85_v1,ncaa_tournament_neutral,0.4,0.45,9,0.4244379798571269,0.3333333333333333,0.09110464652379358
tapered_context_85_v1,ncaa_tournament_neutral,0.45,0.55,61,0.5042668248786301,0.4426229508196721,0.06164387405895794
tapered_context_85_v1,ncaa_tournament_neutral,0.55,0.6,47,0.5784496829864827,0.5957446808510638,-0.017294997864581108
tapered_context_85_v1,ncaa_tournament_neutral,0.6,0.7,81,0.6523840633439429,0.7037037037037037,-0.051319640359760776
tapered_context_85_v1,ncaa_tournament_neutral,0.7,0.8,58,0.7487178095455828,0.7758620689655172,-0.02714425941993448
tapered_context_85_v1,ncaa_tournament_neutral,0.8,0.9,70,0.8483330437115261,0.9,-0.05166695628847395
tapered_context_85_v1,ncaa_tournament_neutral,0.9,1.0,6,0.9165823558966318,1.0,-0.08341764410336816
tapered_context_85_v1,conference_tournament_neutral,0.1,0.2,4,0.1707986518740654,0.75,-0.5792013481259346
tapered_context_85_v1,conference_tournament_neutral,0.2,0.3,7,0.2565635187285287,0.2857142857142857,-0.02915076698575697
tapered_context_85_v1,conference_tournament_neutral,0.3,0.4,46,0.36173878610134125,0.41304347826086957,-0.05130469215952832
tapered_context_85_v1,conference_tournament_neutral,0.4,0.45,88,0.426177668300542,0.38636363636363635,0.039814031936905636
tapered_context_85_v1,conference_tournament_neutral,0.45,0.55,204,0.5035579219168308,0.4166666666666667,0.08689125525016411
tapered_context_85_v1,conference_tournament_neutral,0.55,0.6,168,0.5775986959536871,0.5833333333333334,-0.005734637379646301
tapered_context_85_v1,conference_tournament_neutral,0.6,0.7,432,0.647171290660346,0.7199074074074074,-0.07273611674706149
tapered_context_85_v1,conference_tournament_neutral,0.7,0.8,339,0.7475506707278676,0.8525073746312685,-0.10495670390340084
tapered_context_85_v1,conference_tournament_neutral,0.8,0.9,91,0.8248448522536309,0.9120879120879121,-0.08724305983428116
tapered_context_85_v1,conference_tournament_neutral,0.9,1.0,1,0.9095606207847595,1.0,-0.09043937921524048
tapered_context_85_v1,all_neutral,0.0,0.1,17,0.0730260056169594,0.058823529411764705,0.0142024762051947
tapered_context_85_v1,all_neutral,0.1,0.2,48,0.16173651022836566,0.20833333333333334,-0.04659682310496768
tapered_context_85_v1,all_neutral,0.2,0.3,130,0.2571904392196582,0.2,0.05719043921965816
tapered_context_85_v1,all_neutral,0.3,0.4,489,0.3576201143805966,0.3047034764826176,0.05291663789797901
tapered_context_85_v1,all_neutral,0.4,0.45,406,0.4248426865621153,0.42610837438423643,-0.0012656878221211088
tapered_context_85_v1,all_neutral,0.45,0.55,840,0.5006044361917745,0.5095238095238095,-0.008919373332034963
tapered_context_85_v1,all_neutral,0.55,0.6,483,0.575721467874065,0.6107660455486542,-0.03504457767458924
tapered_context_85_v1,all_neutral,0.6,0.7,889,0.6460257261756837,0.7086614173228346,-0.06263569114715095
tapered_context_85_v1,all_neutral,0.7,0.8,543,0.7457551424894104,0.8379373848987108,-0.0921822424093004
tapered_context_85_v1,all_neutral,0.8,0.9,215,0.8362757968348126,0.8837209302325582,-0.04744513339774559
tapered_context_85_v1,all_neutral,0.9,1.0,19,0.9236472970560977,0.9473684210526315,-0.02372112399653381
tapered_context_85_v1,all_games,0.0,0.1,39,0.07836106925820693,0.05128205128205128,0.027079017976155653
tapered_context_85_v1,all_games,0.1,0.2,559,0.16425273432821194,0.12343470483005367,0.04081802949815827
tapered_context_85_v1,all_games,0.2,0.3,1557,0.2543704378715906,0.2113037893384714,0.04306664853311917
tapered_context_85_v1,all_games,0.3,0.4,2634,0.35388281783011255,0.30296127562642367,0.050921542203688885
tapered_context_85_v1,all_games,0.4,0.45,1845,0.4256402241020668,0.4070460704607046,0.018594153641362188
tapered_context_85_v1,all_games,0.45,0.55,4847,0.5022754317673305,0.5025789147926553,-0.0003034830253247911
tapered_context_85_v1,all_games,0.55,0.6,2990,0.5755624988804693,0.5939799331103679,-0.01841743422989861
tapered_context_85_v1,all_games,0.6,0.7,6759,0.650321322726258,0.6851605267051339,-0.034839203978875966
tapered_context_85_v1,all_games,0.7,0.8,5207,0.7469226628318729,0.8046859996159017,-0.057763336784028785
tapered_context_85_v1,all_games,0.8,0.9,4161,0.8484338689268681,0.8848834414804133,-0.036449572553545195
tapered_context_85_v1,all_games,0.9,1.0,5959,0.9671496672305431,0.9593891592549085,0.007760507975634545
tapered_context_75_v1,ncaa_tournament_neutral,0.3,0.4,5,0.36921238899230957,0.2,0.16921238899230956
