candidate,slice,context,rows,avg_favored_prob,favored_win_rate,favored_gap_actual,avg_market_favored_prob,favored_gap_market
current_active_market_v1,all_neutral,moderate_favorite_band,1264,0.7133984432638257,0.7792721518987342,-0.06587370863490849,0.729329599114852,-0.015675391795153426
current_active_market_v1,all_games,favorite_tail_80,10843,0.9135644647237736,0.9257585539057457,-0.012194089181972068,0.8624366873562591,0.019062228255972258
current_active_market_v1,all_games,heavy_favorite_90,6032,0.9666913459287457,0.9583885941644562,0.008302751764289518,0.8901728229033865,0.05126155944081967
current_active_market_v1,all_games,close_game_prob_band,4760,0.5248519206623069,0.5245798319327731,0.0002720887295337704,0.5852423992456475,-0.06045677831385632
current_active_market_v1,all_games,moderate_favorite_band,11411,0.7177698650474814,0.7624222241696609,-0.044652359122179464,0.734345196879852,-0.01657235710441296
tapered_context_85_v1,ncaa_tournament_neutral,favorite_tail_80,76,0.8537211473050871,0.9078947368421053,-0.05417358953701823,0.8659802086261842,-0.011984331282929084
tapered_context_85_v1,ncaa_tournament_neutral,heavy_favorite_90,6,0.9165823558966318,1.0,-0.08341764410336816,0.9247673063409979,-0.008184950444366068
tapered_context_85_v1,ncaa_tournament_neutral,close_game_prob_band,61,0.5278803422802785,0.5901639344262295,-0.06228359214595103,0.5808399215315557,-0.05277797132479911
tapered_context_85_v1,ncaa_tournament_neutral,moderate_favorite_band,101,0.7177146313214066,0.7920792079207921,-0.07436457659938556,0.7318892660772409,-0.012534815374573682
tapered_context_85_v1,conference_tournament_neutral,favorite_tail_80,96,0.8259088288371762,0.8854166666666666,-0.05950783782949043,0.8506294766244463,-0.025751727209292197
tapered_context_85_v1,conference_tournament_neutral,heavy_favorite_90,1,0.9095606207847595,1.0,-0.09043937921524048,,
tapered_context_85_v1,conference_tournament_neutral,close_game_prob_band,204,0.5249100856336892,0.5392156862745098,-0.014305600640820537,0.5685139325938704,-0.04358323562252475
tapered_context_85_v1,conference_tournament_neutral,moderate_favorite_band,556,0.7198917216105427,0.8003597122302158,-0.08046799061967314,0.728051819066066,-0.007785968668343246
tapered_context_85_v1,all_neutral,favorite_tail_80,299,0.8473036801909722,0.8762541806020067,-0.02895050041103442,0.834403405011507,0.007973422478491643
tapered_context_85_v1,all_neutral,heavy_favorite_90,36,0.9252182374604874,0.9444444444444444,-0.01922620698395705,0.8236967239087044,0.09855547712108348
tapered_context_85_v1,all_neutral,close_game_prob_band,840,0.5251616635847659,0.5226190476190476,0.0025426159657182534,0.5996983677003149,-0.07469859410253887
tapered_context_85_v1,all_neutral,moderate_favorite_band,1253,0.7119397650764927,0.7869114126097366,-0.07497164753324392,0.7381319442789624,-0.025947757263253823
tapered_context_85_v1,all_games,favorite_tail_80,10718,0.9140422499944918,0.9261056167195372,-0.012063366725045377,0.8630381425209477,0.018618560488659175
tapered_context_85_v1,all_games,heavy_favorite_90,5998,0.9668537488038906,0.9593197732577526,0.007533975546137994,0.890387318228578,0.051131164008814234
tapered_context_85_v1,all_games,close_game_prob_band,4847,0.52504438121884,0.518671343098824,0.006373038120015995,0.5856041718708194,-0.0606502819897109
tapered_context_85_v1,all_games,moderate_favorite_band,11349,0.717405746408061,0.765353775663054,-0.047948029254992974,0.7366315455769313,-0.019240395342642214
tapered_context_75_v1,ncaa_tournament_neutral,favorite_tail_80,70,0.8494198628834315,0.9142857142857143,-0.06486585140228274,0.8759014678692544,-0.026038006157426907
tapered_context_75_v1,ncaa_tournament_neutral,heavy_favorite_90,4,0.9187076836824417,1.0,-0.08129231631755829,0.9564155796618923,-0.03770789597945057
tapered_context_75_v1,ncaa_tournament_neutral,close_game_prob_band,61,0.5261187944255892,0.5737704918032787,-0.047651697377689484,0.596348920936978,-0.0695832543108601
tapered_context_75_v1,ncaa_tournament_neutral,moderate_favorite_band,97,0.7172003631124791,0.7731958762886598,-0.05599551317618068,0.7392989151459324,-0.020710049645117024
tapered_context_75_v1,conference_tournament_neutral,favorite_tail_80,67,0.8284891789306456,0.8507462686567164,-0.022257089726070878,0.8543050307416865,-0.0270252870748543
tapered_context_75_v1,conference_tournament_neutral,heavy_favorite_90,1,0.9042416214942932,1.0,-0.09575837850570679,,
tapered_context_75_v1,conference_tournament_neutral,close_game_prob_band,222,0.525751956008576,0.5225225225225225,0.0032294334860535345,0.5713817143333286,-0.04560313529874005
tapered_context_75_v1,conference_tournament_neutral,moderate_favorite_band,547,0.7197320690375142,0.8098720292504571,-0.0901399602129429,0.7394241805678611,-0.0193623548663161
tapered_context_75_v1,all_neutral,favorite_tail_80,264,0.848954836386397,0.8636363636363636,-0.01468152724996663,0.8320568648380907,0.011495781440610253
tapered_context_75_v1,all_neutral,heavy_favorite_90,31,0.9290605163381945,0.9354838709677419,-0.006423354629547351,0.8545739049569404,0.07256306489914965
tapered_context_75_v1,all_neutral,close_game_prob_band,864,0.5255802140260736,0.5115740740740741,0.014006139951999508,0.6009924512463946,-0.07549491393043195
tapered_context_75_v1,all_neutral,moderate_favorite_band,1238,0.7119657914116617,0.7891760904684976,-0.07721029905683585,0.7429069584161899,-0.030715893189935617
tapered_context_75_v1,all_games,favorite_tail_80,10635,0.9144141343007584,0.9264692054536906,-0.01205507115293225,0.8634124019284898,0.01844823656483663
tapered_context_75_v1,all_games,heavy_favorite_90,5974,0.9669862891948658,0.9594911282222967,0.0074951609725691926,0.890925393502215,0.050671750010364724
tapered_context_75_v1,all_games,close_game_prob_band,4887,0.5250254283720714,0.5166768978923675,0.008348530479703964,0.5855006245762838,-0.060564718083802815
